,clg_names,address,contact,intake,email,location
23,Agnel Charitable Trust's Fr. Conceicao Rodrigues Institute of Technology,"Father Agnel Technical Education Complex, near Noor Masjid, Juhu Nagar, Sector 9A, Vashi, Navi Mumbai, Maharashtra 400703",27543608/23/27545242,240,agnelvox@bom5.vsnl.net.in,Navi Mumbai
24,Datta Meghe College of Engineering,"Plot No. 98, Sector-3, Airoli, Opp Khandoba Temple Sri Sadguru Vanamrao Pai Marg, Navi Mumbai, Maharashtra 400708",41611000/27661924,240,principaldmce@yahoo.com,Navi Mumbai
25,Lokmanya Tilak Jankalyan Shikshan Sanstha's Lokmanya Tilak College of Engineering,"Kopar Khairane, Sector 4, Vikas Nagar, Navi Mumbai, Maharashtra 400709",27791662/27797130,800,principal.ltce@ltjss.net,Navi Mumbai
26,"Mahatma Education Society's Pillai's Institute of Information Technology, Engineering, Media Studies & Research","Dr. K. M. Vasudevan Pillai Campus, Plot No. 10, Sector 16, New Panvel East, Navi Mumbai, Maharashtra 410206",27541005/06/27547787,600,principalpiit@mes.ac.in,Navi Mumbai
27,South Indian Education Society's Graduate School of Technology,"Plot No.71, 72, TV Chidambaran Marg, Jay BharatMata Nagar, Sion East, Sion, Mumbai, Maharashtra 400022",27451700/6100/27456030/27483207,240,siesgst@siesgst.net,Mumbai
28,Saraswati Education Society's Saraswati College of Engineering,"Plot No. 46, near MSEB Sub Station, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210",27716928/27716969,360,admissions.scoe@sce.edu.in,Navi Mumbai
29,Anjuman-I-Islam's School of Engineering & Technology ,"Plot No. 2 & 3, Sector - 16, Near Thana Naka, Khandagao, New Panvel, Navi Mumbai, Maharashtra 410206",27743706/32993723,750,aikte.newpanvel@gmail.com,Navi Mumbai
30,Konkan Gyanpeeth College of Engineering,"near Kokan Gyanpeeth College Parade, Dahivali, Karjat, Maharashtra 410201",27481247/27481248,360,principal@kgce.edu.in,Navi Mumbai
31,Leela Education Society's G.V. Acharya Institute of Engineering & Technology,"Opp. Shelu Suburban Railway Station, Veeracharya Technical Education Campus Taluka - Karjat, Shelu, Maharashtra 410201",252812/255279,700,vvsurvase@gmail.com,Navi Mumbai
32,Mahatma Education Society's Pillai HOCL College of Engg. & Technology,"Khalapur, HOC Colony Rd, Taluka, Rasayani, Maharashtra 410207",229639/9766774411,300,pricipal.phcet@mes.ac.in,Mumbai
33,Saraswati Education Society's Yadavrao Tasgaonkar Institute of Engineering & Technology,"Bhivpuri Road Railway Station, Chandhai, Nasrapur, Karjat, Maharashtra 410201",250066,700,Info@Tasgaonkartech.com,Mumbai
34,Suman Education Trust's Dilkap Research Institute of Engineering & Management Studies,"39/A, 3rd Floor, Maker Tower 'F', Chamundeshwari Nagar, Cuffe Parade, Mumbai, Maharashtra 400005",02148 320 781,700,info@driems.in,Mumbai
35,Gopinath Mahadeo Vedak Pratishthan's G.M. Vedak Institute of Technology,"At Post & Taluka, Tala, Maharashtra 402111",204064,420,vyankateshkulkarni2@gmail.com,Mumbai
36,Vishwaniketan's Institute of Management Entepreneurship and Engineeering Technology,"Survey Nos: 52, 54, 55, 56, 57 Kumbhivali, Tal, Khalapur, Maharashtra 410202",269088/9764628968,240,admissions.vimeet@vishwaniketan.edu.in,Mumbai
37,Mandar Education Society's Rajaram Shinde College of Engineering,"Pedhambe, post : alore, Tal:Chiplun, Ratnagiri, 415603",96733/76000,360,mesbed@sancharnet.in,Ratnagiri
38,Finolex Academy of Management & Technology's College of Engineering,"P- 60¸ P- 60/1, MIDC, Mirjole Block, Ratnagiri, Maharashtra 415639",230017,270,admin@famt.ac.in,Ratnagiri
39,Prabodhan Shikshan Prasarak Sanstha's Rajendra M. Mane College of Engineering,"Taluka Sangameshwar, Dist. Ratnagiri, Ambav, Maharashtra 415804",228361/228445/229657/230419,420,info@rmcet.com,Ratnagiri
40,Gharda Foundation's Gharda Institute of Technology,"Bombay - Goa Highway, Dabhil Naka, Ratnagiri District, Lavel, Maharashtra 415708",240992/241503,600,principal@gitindia.edu.in,Ratnagiri
41,Vidya Prasarak Mandal's Maharshi Parshuram College of Engineering,"At/Post: Velneshwar, Taluka: Guhagar, District Ratnagiri State Highway 78 Hedvi, Road, Guhagar, Maharashtra 415729",262795/262799,300,principal@vpmmpcoe.org,Ratnagiri
42,Sindhudurg Shikshan Prasarak Mandal's College of Engineering,"A/P-Harkul Budruk, State Highway 181, Tal- Kankavali, Sindhudurg, Maharashtra 416602",25426270/25447868,240,sspmcoe@gmail.com,Sindhudurg
43,Jayawanti Babu Foundation's Metropolitan Institute of Technology & Management,"Village Sukhalwad, Post : Oras, Tal Malvan, Sindhudurg",231525/231616,300,info@mitmindia.in,Sindhudurg
44,Shivajirao S. Jondhale College of Engineering,"Sheel-Kalyan Road, Sonarpada, Post, Manpada Rd, behind Venkatesh Petrol Pump, Dombivli East, Thane, Maharashtra 421204",228550/228554,360,bakaljw@gmail.com,Thane
45,Vidyavardhini's College of Engineering & Technology,"K.T. Marg, Vartak College Campus, Vasai Rd, Vasai-Virar, Maharashtra 401202",2023973/651222,400,vcet_inbox@vcet.edu.in,Thane
46,Excelsior Education Society's K.C. College of Engineering,"Sadguru Gardens, Mithbunder Rd, near Kopri, Valmiki Nagar, Thane (E, Mumbai, Maharashtra 400603",2338234,420,info@kccemsr.edu.in,Thane
47,Vighnaharta Trust's Shivajirao S. Jondhale College of Engineering & Technology,"Opp. Railway Station, Asangaon, Tal :Shahapur,Thane, 421601",25426625/25433162,320,office@jondhleengg.org,Thane
48,Koti Vidya Charitable Trust's Alamuri Ratnamala Institute of Engineering & Technology,"A.S.Rao Nagar, Sapgaon, Shahapur(Taluka, Maharashtra 421601",2870251/16/2870781,420,lsb@kvctarmiet.com,Thane
49,Aldel Education Trust's St. John College of Engineering,"Palghar - Manor Rd, near Shakti Udyog, Industrial Area, Vevoor, Palghar, Maharashtra 401404",212221/2122222,800,sjcet.aldel@rediffmail.com,Palghar
50,"Haji Jamaluddin Thim Trust, Theem College of Engineering","Boisar, East, Boisar - Palghar Rd, Chilhar, Maharashtra 401501",254846/254849,600,info@theemcoe.org,Palghar
51,Late Shri Vishnu Waman Thakur Charitable Trust's Viva Institute of Technology,"Viva College Rd, Vartak Ward, Virar West, Thane, Maharashtra 401303",02525 284 909,720,contact@viva.technology.org,Thane
52,"Innovative Engineer's & Teacher's Education Society's Leelavati Awhad Institute of Technology, Management Studies & Research","Kanhor, Badlapur (West), Thane, Maharashtra 421503",284909,600,,Thane
53,Shree Rahul Education Society's L.R. Tiwari College Engineering,"Kanakia Rd, Kanakia Park, Mira Road, Mira Bhayandar, Maharashtra 401107",2665001,300,slrtce@rahuleducation.com,Mumbai
54,Vishwatmak Om Gurudev College of Engineering,"Maharashtra State Highway 79, Mohili, Maharashtra 421601",65142376,360,vishwatmakengg@gmail.com,Mumbai
55,Jay Shri Siddhivinayak Foundation's B.R. Harne College of Engineering & Technology,"Karav, Post Vangani (W Tal Ambernath, Mumbai, Maharashtra 421503",249001/249002-05,240,,Mumbai
56,Vidya Vikas Education Trust's Universal College of Engineering,"Near Bhajansons & Punyadham Kaman, Bhiwandi Rd, Vasai-Virar, Maharashtra 401208",2660108/2660109,600,info.ucoe@universal.edu.in,Mumbai
57,Ideal Foundation's Ideal Institute of Technology,"At post posheri ta, Bhiwandi - Wada Rd, Wada, Maharashtra 421303",080070/00755,300,hridealwada@gmail.com,Thane
58,Dwarkadas J. Sanghvi College of Engineering,"No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Rd, Opp.Cooper Hospital, Vile Parle, Mumbai, Maharashtra 400056",022 4233 5000,300,,Mumbai
59,"Rajiv Gandhi Institute of Technology, Mumbai","Juhu Versova Link Rd, behind HDFC Bank, Gharkul Society, Bharat Nagar, Versova, Andheri West, Mumbai, Maharashtra 400053",022 2670 7025,630,sanjay.bokade@mctrgit.ac.in,Mumbai
60,Thakur College of Engineering and Technology,"A-Block, Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",022 6730 8106,400,cet@thakureducation.org,Mumbai
61,Veermata Jijabai Technological Institute,"H R Mahajani Rd, Matunga, Mumbai, Maharashtra 400019",022 2419 8101,360,dean_admin@vjti.ac.in,Mumbai
